friday,8,still,,172
president,7,change,,184
reports,32,rebell,,338
former,22,coach,,334
top,55,league,,170
said,0,vladimir,,496
thursday,6,plan,,222
friday,8,part,,256
group,26,familiar,,171
away,84,former,,116
state,10,turkish,,166
two,3,criminal,,109
said,0,crackdown,,129
state,10,first,,681
president,7,nicolas,,190
president,7,life,,113
york,14,could,,105
wife,87,long,,179
year,18,party,,137
billion,46,federal,,194
officials,35,killing,,306
man,37,would,,103
international,54,human,,122
first,13,group,,415
city,19,july,,156
years,11,department,,111
would,23,britains,,102
new,1,played,,105
said,0,leone,,141
york,14,sunday,,309
year,18,another,,170
officials,35,say,,835
thursday,6,michael,,109
central,80,expected,,114
last,21,saying,,101
thursday,6,finance,,176
new,1,gave,,140
tuesday,4,heavy,,102
said,0,navy,,177
said,0,front,,153
united,24,made,,163
friday,8,games,,118
court,41,one,,322
bank,49,second,,102
home,34,killing,,128
percent,74,inc,,214
officials,35,leaders,,103
former,22,inc,,115
monday,9,texas,,152
percent,74,months,,146
may,42,long,,151
united,24,east,,116
billion,46,former,,107
federal,43,ruled,,257
three,28,two,,807
bank,49,stock,,109
wednesday,5,official,,546
sunday,25,night,,386
company,47,latest,,130
million,39,international,,132
may,42,june,,102
wednesday,5,ceasefire,,113
cup,52,city,,168
first,13,place,,177
former,22,away,,116
say,58,investigators,,106
wednesday,5,boston,,132
died,36,veteran,,117
said,0,needs,,293
saturday,29,bank,,110
may,42,away,,257
bank,49,measures,,130
york,14,governor,,112
city,19,says,,195
barack,96,militants,,177
friday,8,agreement,,164
authorities,71,federal,,253
minister,31,way,,103
american,56,officials,,271
sunday,25,pope,,102
market,99,new,,612
chief,77,people,,110
oil,89,according,,108
new,1,woman,,339
thursday,6,militant,,113
thursday,6,former,,736
could,33,company,,240
years,11,set,,193
second,66,title,,209
national,57,says,,177
president,7,discussed,,112
would,23,opposition,,136
sunday,25,race,,145
reported,95,billion,,204
oil,89,economy,,148
chief,77,state,,165
killed,45,attacked,,125
tuesday,4,game,,190
top,55,city,,132
million,39,raise,,110
monday,9,spokesman,,237
us,2,prison,,294
reports,32,john,,138
monday,9,workers,,188
people,16,attacked,,103
british,76,business,,174
monday,9,health,,278
week,30,number,,192
bank,49,pounds,,264
2014,38,may,,785
thursday,6,announced,,408
million,39,top,,138
states,27,national,,222
new,1,february,,301
york,14,wednesday,,439
killed,45,media,,154
monday,9,led,,126
president,7,legal,,104
next,51,people,,115
time,44,new,,731
week,30,three,,224
said,0,charges,,811
city,19,died,,831
one,12,game,,247
day,50,five,,112
two,3,woman,,312
said,0,world,,1583
oil,89,crude,,543
police,15,new,,1255
friday,8,zone,,162
thursday,6,wednesday,,110
new,1,top,,579
billion,46,shareholders,,128
prime,64,turkish,,145
week,30,stocks,,141
sunday,25,death,,129
late,98,scored,,103
security,69,police,,339
first,13,helped,,137
thursday,6,criminal,,125
official,79,charts,,151
city,19,manchester,,377
state,10,ordered,,129
saturday,29,york,,274
last,21,week,,1877
state,10,iraq,,1121
wednesday,5,cut,,195
time,44,ahead,,102
thursday,6,malaysian,,101
us,2,hundreds,,115
state,10,german,,115
former,22,court,,683
new,1,pace,,118
said,0,public,,711
cup,52,left,,171
monday,9,corruption,,109
us,2,higher,,439
since,78,reports,,122
two,3,taking,,150
european,48,britain,,176
state,10,groups,,265
country,59,north,,230
government,20,thursday,,978
wednesday,5,air,,253
federal,43,insurance,,117
would,23,decision,,137
four,65,victory,,134
according,92,familiar,,235
authorities,71,killing,,251
state,10,militant,,403
south,61,two,,440
tuesday,4,man,,608
said,0,11,,358
two,3,david,,122
killed,45,nearly,,114
group,26,united,,411
next,51,percent,,183
new,1,condolences,,208
chief,77,week,,127
