hotspot,hotwitin500,prob00,prob01,prob10,prob11,hotspotchk,prox500,prox750,y00,y01,y10,y11,assignment,exposure,y
1,1,0.436,0.23,0.23,0.104,1,1,2,30,25,35,23,0,0,30
2,0,0.667,0.333,0,0,2,0,0,10,5,15,3,0,0,10
3,3,0.177,0.104,0.49,0.229,3,3,5,60,55,65,53,0,10,65
4,0,0.667,0.333,0,0,4,0,0,10,5,15,3,1,1,5
5,3,0.177,0.104,0.49,0.229,5,3,6,70,65,75,63,0,10,75
6,0,0.667,0.333,0,0,6,0,0,10,5,15,3,0,0,10
7,0,0.667,0.333,0,0,7,0,1,20,15,25,13,0,0,20
8,1,0.437,0.23,0.23,0.103,8,1,3,40,35,45,33,0,10,45
9,0,0.667,0.333,0,0,9,0,0,10,5,15,3,1,1,5
10,0,0.667,0.333,0,0,10,0,5,60,55,65,53,1,1,55
11,0,0.667,0.333,0,0,11,0,0,10,5,15,3,0,0,10
12,0,0.667,0.333,0,0,12,0,0,10,5,15,3,0,0,10
13,1,0.437,0.23,0.23,0.104,13,1,5,60,55,65,53,1,11,53
14,3,0.177,0.104,0.49,0.229,14,3,6,70,65,75,63,0,10,75
15,2,0.281,0.156,0.386,0.177,15,2,6,70,65,75,63,0,0,70
16,1,0.437,0.23,0.23,0.103,16,1,5,60,55,65,53,0,0,60
17,2,0.281,0.156,0.386,0.177,17,2,7,80,75,85,73,0,0,80
18,2,0.281,0.156,0.386,0.177,18,2,6,70,65,75,63,0,0,70
19,2,0.281,0.156,0.386,0.177,19,2,3,40,35,45,33,1,1,35
20,5,0.065,0.043,0.601,0.29,20,5,6,70,65,75,63,0,10,75
21,1,0.437,0.23,0.23,0.104,21,1,5,60,55,65,53,1,11,53
22,2,0.281,0.156,0.386,0.177,22,2,3,40,35,45,33,0,0,40
23,2,0.281,0.156,0.386,0.177,23,2,6,70,65,75,63,0,0,70
24,3,0.177,0.104,0.49,0.229,24,3,5,60,55,65,53,1,1,55
25,0,0.667,0.333,0,0,25,0,0,10,5,15,3,1,1,5
26,1,0.437,0.23,0.23,0.103,26,1,4,50,45,55,43,1,1,45
27,0,0.667,0.333,0,0,27,0,0,10,5,15,3,1,1,5
28,2,0.281,0.156,0.386,0.177,28,2,6,70,65,75,63,0,0,70
29,0,0.667,0.333,0,0,29,0,0,10,5,15,3,0,0,10
30,1,0.437,0.229,0.23,0.104,30,1,5,60,55,65,53,0,0,60
