ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,survey_code,How much would you pay for an Amazon.com gift card valued at $50?,How much would you pay for an Amazon.com gift card valued at $50.08?,How much would you pay for an Amazon.com gift card valued at $50.45?,How much would you pay for an Amazon.com gift card valued at $49.55?,How much would you pay for an Amazon.com gift card valued at $49.92?,What is your gender?,Indicate total household income:,What is your highest level of education?,What is your age?,LocationLatitude,LocationLongitude,LocationAccuracy,,values,Question,is.$49.55,is.$49.92,is.$50,is.$50.08,is.$50.45,is.nan,TimezoneName,TimezoneId,is.Atlantic Standard Time,is.Central Standard Time,is.Eastern Standard Time,is.Greenwich Mean Time,is.Hawaii-Aleutian Standard Time,is.India Standard Time,is.Mountain Standard Time,is.Pacific Standard Time,is.Peru Standard Time,Education,is.Associates,is.Bachelor,is.College,is.Graduate,is.Highschool,is.None,gender
R_b7aq0qPTOjiNP5r,Default Response Set,Anonymous,,,108.48.81.227,0,2015-08-02 19:32:04,2015-08-02 19:32:22,1,38115012,,25,,,,1,45000,4,25,38.899307250977,-77.191596984863,-1,,25,$50.08,0,0,0,1,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Bachelor,0,1,0,0,0,0,Male
R_781D3Zmq02dmMnz,Default Response Set,Anonymous,,,24.6.178.238,0,2015-08-02 19:44:46,2015-08-02 19:52:38,1,79865128,,,,49.55,,1,120000,4,39,37.567001342773,-121.98289489746,-1,,49.55,$49.55,1,0,0,0,0,0,Pacific Standard Time,America/Los_Angeles,0,0,0,0,0,0,0,1,0,Bachelor,0,1,0,0,0,0,Male
R_2mz7viicr5wzoc5,Default Response Set,Anonymous,,,108.41.15.100,0,2015-08-02 20:19:52,2015-08-02 20:20:31,1,18636822,,50.08,,,,1,290000,5,36,40.906402587891,-73.131896972656,-1,,50.08,$50.08,0,0,0,1,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Graduate,0,0,0,1,0,0,Male
R_d3UUeHcww3xphpr,Default Response Set,Anonymous,,,128.107.241.183,0,2015-08-02 20:32:42,2015-08-02 20:33:47,1,21764970,,,,49.55,,2,300000,4,24,37.425003051758,-121.94599914551,-1,,49.55,$49.55,1,0,0,0,0,0,Pacific Standard Time,America/Los_Angeles,0,0,0,0,0,0,0,1,0,Bachelor,0,1,0,0,0,0,Female
R_2uksFhL9GJSZj0N,Default Response Set,Anonymous,,,216.49.148.67,0,2015-08-02 20:35:29,2015-08-02 20:36:08,1,28672586,,,,,35,1,200000,4,42,42.286499023438,-71.714698791504,-1,,35,$49.92,0,1,0,0,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Bachelor,0,1,0,0,0,0,Male
R_b3m7Mg6LjAp684t,Default Response Set,Anonymous,,,50.179.4.158,0,2015-08-02 21:10:09,2015-08-02 21:10:33,1,48982453,,,,49.55,,2,75000,5,27,41.878402709961,-87.685203552246,-1,,49.55,$49.55,1,0,0,0,0,0,Central Standard Time,America/Chicago,0,1,0,0,0,0,0,0,0,Graduate,0,0,0,1,0,0,Female
R_eX9uMkUEvxyW4T3,Default Response Set,Anonymous,,,209.6.132.153,0,2015-08-02 22:34:01,2015-08-02 22:35:10,1,20712790,,0,,,,1,150000,4,26,42.34309387207,-71.123001098633,-1,,0,$50.08,0,0,0,1,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Bachelor,0,1,0,0,0,0,Male
R_9vjIpZnEq9kqlKd,Default Response Set,Anonymous,,,50.148.128.52,0,2015-08-02 23:07:42,2015-08-02 23:08:25,1,11700746,,40,,,,2,,4,32,37.353698730469,-122.03070068359,-1,,40,$50.08,0,0,0,1,0,0,Pacific Standard Time,America/Los_Angeles,0,0,0,0,0,0,0,1,0,Bachelor,0,1,0,0,0,0,Female
R_3CU1p6FKHRBZ2fz,Default Response Set,Anonymous,,,107.107.62.50,0,2015-08-02 23:21:08,2015-08-02 23:21:36,1,10332820,,,35,,,2,47000,4,34,40.714294433594,-74.005996704102,-1,,35,$50.45,0,0,0,0,1,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Bachelor,0,1,0,0,0,0,Female
R_a4w2JdskyGqkH5P,Default Response Set,Anonymous,,,146.115.183.105,0,2015-08-03 06:57:33,2015-08-03 07:01:27,1,63164626,,,,,35.00,2,180000,5,29,42.372192382812,-71.178703308105,-1,,35.00,$49.92,0,1,0,0,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Graduate,0,0,0,1,0,0,Female
R_8B5hyrxQW85O00l,Default Response Set,Anonymous,,,108.54.160.196,0,2015-08-03 07:29:56,2015-08-03 07:30:25,1,46519674,,,40,,,1,90000,5,25,40.744903564453,-73.978202819824,-1,,40,$50.45,0,0,0,0,1,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Graduate,0,0,0,1,0,0,Male
R_eWiVEgOaCTtXgXP,Default Response Set,Anonymous,,,96.49.177.71,0,2015-08-03 09:39:12,2015-08-03 09:39:16,1,21081549,,,,,,,,,,49.25,-122.94999694824,-1,,NA,nan,0,0,0,0,0,1,Pacific Standard Time,America/Vancouver,0,0,0,0,0,0,0,1,0,None,0,0,0,0,0,1,None
R_9XN7uz9Q5mpOUkt,Default Response Set,Anonymous,,,64.215.239.111,0,2015-08-03 10:01:50,2015-08-03 10:02:37,1,98414515,,40,,,,2,72000,4,24,38.892395019531,-77.073501586914,-1,,40,$50.08,0,0,0,1,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,Bachelor,0,1,0,0,0,0,Female
R_ey1ZSYFEzXkKNut,Default Response Set,Anonymous,,,24.6.182.230,0,2015-08-03 11:06:37,2015-08-03 11:07:22,1,78963167,,,40,,,2,135000,4,36,37.35009765625,-121.98539733887,-1,,40,$50.45,0,0,0,0,1,0,Pacific Standard Time,America/Los_Angeles,0,0,0,0,0,0,0,1,0,Bachelor,0,1,0,0,0,0,Female
R_afbC2HyNt69XjSZ,Default Response Set,Anonymous,,,108.243.26.116,0,2015-08-04 07:43:31,2015-08-04 07:44:21,1,87288458,,,,30.00,,1,25000,2,29,33.375793457031,-84.465698242188,-1,,30.00,$49.55,1,0,0,0,0,0,Eastern Standard Time,America/New_York,0,0,1,0,0,0,0,0,0,College,0,0,1,0,0,0,Male
R_2n2D3jsFEtPZVhH,Default Response Set,Anonymous,,,92.238.38.24,0,2015-08-04 07:44:19,2015-08-04 07:44:21,1,54729866,,,,,,,,,,53.433303833008,-1.3500061035156,-1,,NA,nan,0,0,0,0,0,1,Greenwich Mean Time,Europe/London,0,0,0,1,0,0,0,0,0,None,0,0,0,0,0,1,None
R_ba2UVJJCUHmm7wF,Default Response Set,Anonymous,,,63.149.18.28,0,2015-08-04 07:43:59,2015-08-04 07:44:28,1,54811325,40,,,,,1,11000,4,33,36.635498046875,-88.282997131348,-1,,40,$50,0,0,1,0,0,0,Central Standard Time,America/Chicago,0,1,0,0,0,0,0,0,0,Bachelor,0,1,0,0,0,0,Male
